x_px,y_px,H_star,B_star,U_H_V,U_B_V
78.0,64.0,-0.22772277227722773,0.36,-0.1821782178217822,0.0288
150.0,64.0,0.48514851485148514,0.36,0.38811881188118813,0.0288
77.0,65.0,-0.2376237623762376,0.35,-0.1900990099009901,0.027999999999999997
78.0,65.0,-0.22772277227722773,0.35,-0.1821782178217822,0.027999999999999997
150.0,65.0,0.48514851485148514,0.35,0.38811881188118813,0.027999999999999997
77.0,66.0,-0.2376237623762376,0.34,-0.1900990099009901,0.027200000000000002
77.0,67.0,-0.2376237623762376,0.33,-0.1900990099009901,0.026400000000000003
149.0,67.0,0.4752475247524752,0.33,0.3801980198019802,0.026400000000000003
76.0,68.0,-0.24752475247524752,0.32,-0.19801980198019803,0.0256
77.0,69.0,-0.2376237623762376,0.31,-0.1900990099009901,0.0248
148.0,69.0,0.46534653465346537,0.31,0.37227722772277233,0.0248
76.0,70.0,-0.24752475247524752,0.3,-0.19801980198019803,0.024
147.0,70.0,0.45544554455445546,0.3,0.3643564356435644,0.024
75.0,71.0,-0.25742574257425743,0.29,-0.20594059405940596,0.0232
76.0,71.0,-0.24752475247524752,0.29,-0.19801980198019803,0.0232
147.0,71.0,0.45544554455445546,0.29,0.3643564356435644,0.0232
148.0,71.0,0.46534653465346537,0.29,0.37227722772277233,0.0232
75.0,72.0,-0.25742574257425743,0.28,-0.20594059405940596,0.022400000000000003
76.0,72.0,-0.24752475247524752,0.28,-0.19801980198019803,0.022400000000000003
148.0,72.0,0.46534653465346537,0.28,0.37227722772277233,0.022400000000000003
75.0,73.0,-0.25742574257425743,0.27,-0.20594059405940596,0.0216
76.0,73.0,-0.24752475247524752,0.27,-0.19801980198019803,0.0216
147.0,73.0,0.45544554455445546,0.27,0.3643564356435644,0.0216
75.0,74.0,-0.25742574257425743,0.26,-0.20594059405940596,0.020800000000000003
77.0,74.0,-0.2376237623762376,0.26,-0.1900990099009901,0.020800000000000003
74.0,75.0,-0.26732673267326734,0.25,-0.21386138613861388,0.02
78.0,75.0,-0.22772277227722773,0.25,-0.1821782178217822,0.02
146.0,75.0,0.44554455445544555,0.25,0.3564356435643565,0.02
73.0,76.0,-0.27722772277227725,0.24,-0.2217821782178218,0.0192
73.0,77.0,-0.27722772277227725,0.23,-0.2217821782178218,0.0184
74.0,77.0,-0.26732673267326734,0.23,-0.21386138613861388,0.0184
145.0,77.0,0.43564356435643564,0.23,0.34851485148514855,0.0184
73.0,78.0,-0.27722772277227725,0.22,-0.2217821782178218,0.0176
74.0,78.0,-0.26732673267326734,0.22,-0.21386138613861388,0.0176
144.0,78.0,0.42574257425742573,0.22,0.3405940594059406,0.0176
73.0,79.0,-0.27722772277227725,0.21,-0.2217821782178218,0.0168
74.0,79.0,-0.26732673267326734,0.21,-0.21386138613861388,0.0168
145.0,79.0,0.43564356435643564,0.21,0.34851485148514855,0.0168
73.0,80.0,-0.27722772277227725,0.2,-0.2217821782178218,0.016
74.0,80.0,-0.26732673267326734,0.2,-0.21386138613861388,0.016
144.0,80.0,0.42574257425742573,0.2,0.3405940594059406,0.016
74.0,81.0,-0.26732673267326734,0.19,-0.21386138613861388,0.0152
143.0,81.0,0.4158415841584158,0.19,0.3326732673267327,0.0152
73.0,82.0,-0.27722772277227725,0.18,-0.2217821782178218,0.0144
143.0,82.0,0.4158415841584158,0.18,0.3326732673267327,0.0144
144.0,82.0,0.42574257425742573,0.18,0.3405940594059406,0.0144
72.0,83.0,-0.2871287128712871,0.17,-0.22970297029702968,0.013600000000000001
143.0,83.0,0.4158415841584158,0.17,0.3326732673267327,0.013600000000000001
144.0,83.0,0.42574257425742573,0.17,0.3405940594059406,0.013600000000000001
